Date,Traffic_Source,Campaign,Customer_Type,Visitors,Marketing_Spend,Add_to_Cart,Purchases,Revenue,Cart_Abandonment_Rate,Repeat_Purchase_Rate,Conversion_Rate
2023-01-01,Email Campaign,Flash Deals,New,1226,1469.85,261,46.0,6416.7,19.11,20.99,8.91
2023-01-02,Social Media,Flash Deals,New,1559,4429.12,274,153.0,6692.86,49.04,21.91,7.08
2023-01-03,Direct,Winter Promo,New,960,3763.82,69,238.0,4355.64,36.69,8.29,5.92
2023-01-04,Direct,Flash Deals,New,1394,4770.05,162,187.0,5613.54,10.42,10.85,8.47
2023-01-05,Organic Search,Summer Sale,Returning,1230,1720.68,189,117.0,4717.28,20.22,24.67,6.46
2023-01-06,Email Campaign,Flash Deals,New,1195,2808.55,96,287.0,1622.2,20.43,29.27,3.62
2023-01-07,Direct,Summer Sale,Returning,1824,2904.23,50,256.0,4934.49,12.77,11.57,2.86
2023-01-08,Email Campaign,Summer Sale,Returning,1144,4903.62,139,192.0,1876.54,48.39,11.79,2.37
2023-01-09,Organic Search,Holiday Offers,Returning,1738,469.2,191,209.0,4645.19,29.13,16.82,9.1
2023-01-10,Google Ads,Summer Sale,Returning,221,1597.92,369,141.0,6336.27,45.83,29.6,7.39
2023-01-11,Organic Search,Summer Sale,New,566,1035.46,87,65.0,6214.73,22.89,11.72,9.44
2023-01-12,Social Media,Winter Promo,New,1338,1415.53,342,83.0,6963.59,15.01,15.17,6.43
2023-01-13,Organic Search,Weekend Discount,Returning,430,2477.87,431,149.0,1857.35,28.97,27.29,5.26
2023-01-14,Email Campaign,Winter Promo,New,1582,1926.17,188,212.0,6869.11,14.56,5.07,1.54
2023-01-15,Email Campaign,Flash Deals,New,187,2033.99,405,200.0,3809.33,29.44,5.99,7.04
2023-01-16,Direct,Weekend Discount,New,1496,4236.64,382,48.0,4591.41,46.81,20.1,6.24
2023-01-17,Direct,Holiday Offers,New,1223,4657.08,308,168.0,8721.88,30.83,27.68,9.91
2023-01-18,Direct,Holiday Offers,Returning,971,445.04,210,286.0,1081.27,34.66,10.97,3.15
2023-01-19,Organic Search,Holiday Offers,Returning,1787,1123.7,439,,6295.71,16.27,16.74,5.78
2023-01-20,Email Campaign,Winter Promo,New,230,3388.6,227,183.0,6388.43,11.75,16.26,6.86
2023-01-21,Google Ads,Holiday Offers,New,1785,1857.37,59,132.0,4569.94,14.43,16.82,6.8
2023-01-22,Email Campaign,Holiday Offers,New,1432,1345.4,310,206.0,3133.25,33.94,20.56,6.05
2023-01-23,Email Campaign,Flash Deals,New,869,1546.92,456,251.0,,13.8,16.74,7.99
2023-01-24,Direct,Flash Deals,New,443,1680.5,187,246.0,8953.39,25.04,16.19,2.84
2023-01-25,Social Media,Winter Promo,New,1615,4258.48,221,117.0,4978.22,32.0,16.86,7.53
2023-01-26,Direct,Holiday Offers,New,1537,,435,74.0,3978.0,25.55,19.77,6.58
2023-01-27,Direct,Winter Promo,New,905,3573.66,62,130.0,5039.0,16.55,18.43,9.06
2023-01-28,Social Media,Flash Deals,Returning,485,2808.82,217,171.0,7024.51,20.95,26.35,8.62
2023-01-29,Google Ads,Winter Promo,New,1315,1552.9,179,265.0,2311.81,47.13,6.24,3.84
2023-01-30,Direct,Flash Deals,Returning,1055,2156.93,133,88.0,5044.9,37.04,25.83,3.49
2023-01-31,Direct,Holiday Offers,New,376,1355.41,370,269.0,6290.96,29.84,26.1,9.83
2023-02-01,Social Media,Holiday Offers,Returning,1284,3096.42,368,55.0,9537.25,10.51,12.12,5.75
2023-02-02,Google Ads,Winter Promo,New,559,,150,,,49.7,16.57,9.16
2023-02-03,Social Media,Flash Deals,Returning,1437,,378,167.0,4233.26,36.86,15.96,2.47
2023-02-04,Google Ads,Holiday Offers,Returning,121,3176.68,322,246.0,,22.68,10.46,6.79
2023-02-05,Organic Search,Flash Deals,New,352,1051.94,314,263.0,6449.84,45.17,14.92,8.29
2023-02-06,Direct,Flash Deals,New,847,,448,220.0,4210.59,20.34,6.11,9.53
2023-02-07,Direct,Flash Deals,New,956,2044.24,457,173.0,5801.61,31.76,11.95,4.04
2023-02-08,Social Media,Summer Sale,Returning,1684,348.77,87,92.0,8036.11,35.44,25.42,7.52
2023-02-09,Direct,Weekend Discount,Returning,574,4444.42,468,220.0,7348.47,18.84,12.11,5.85
2023-02-10,Organic Search,Weekend Discount,New,1182,,143,,5017.32,49.14,25.46,1.55
2023-02-11,Email Campaign,Winter Promo,New,610,2936.44,144,148.0,8777.95,39.93,18.29,7.21
2023-02-12,Email Campaign,Summer Sale,New,1805,2248.52,354,236.0,6023.26,32.31,27.0,7.21
2023-02-13,Direct,Weekend Discount,Returning,1599,3392.93,118,80.0,5859.15,17.22,19.37,9.38
2023-02-14,Google Ads,Summer Sale,Returning,799,1707.95,367,123.0,1307.69,12.15,5.74,5.48
2023-02-15,Email Campaign,Holiday Offers,New,1075,859.7,493,61.0,9880.24,22.8,21.89,3.07
2023-02-16,Social Media,Weekend Discount,New,1906,4911.02,285,44.0,2106.74,40.13,6.12,1.4
2023-02-17,Social Media,Summer Sale,New,289,4210.77,483,58.0,3080.18,20.77,16.26,4.74
2023-02-18,Email Campaign,Weekend Discount,New,1057,4315.98,383,150.0,1465.27,31.58,28.24,3.72
2023-02-19,Organic Search,Winter Promo,Returning,786,1326.23,422,248.0,6760.03,39.12,9.13,7.85
2023-02-20,Social Media,Weekend Discount,Returning,1057,290.29,425,,3022.31,14.32,14.75,4.19
2023-02-21,Direct,Winter Promo,New,662,1586.0,186,191.0,,37.41,23.25,9.54
2023-02-22,Google Ads,Holiday Offers,New,1999,,467,121.0,1797.0,13.67,27.06,9.66
2023-02-23,Organic Search,Winter Promo,New,1690,1700.59,125,31.0,1929.78,48.61,21.77,6.59
2023-02-24,Direct,Winter Promo,Returning,1367,4156.56,84,294.0,6262.04,29.54,11.45,9.36
2023-02-25,Google Ads,Weekend Discount,New,931,1430.56,50,120.0,,16.03,21.87,7.85
2023-02-26,Google Ads,Summer Sale,New,1628,4829.73,345,63.0,4576.41,23.7,12.42,5.92
2023-02-27,Direct,Weekend Discount,Returning,1254,2340.6,369,36.0,5319.07,26.54,22.96,2.62
2023-02-28,Organic Search,Weekend Discount,New,1608,4225.91,455,76.0,7173.71,40.33,28.85,5.13
2023-03-01,Organic Search,Summer Sale,Returning,1942,1052.46,109,31.0,1156.42,39.74,23.03,6.05
2023-03-02,Organic Search,Holiday Offers,Returning,746,2115.63,369,,,34.48,26.57,8.78
2023-03-03,Email Campaign,Holiday Offers,Returning,120,3527.61,398,235.0,9757.88,14.24,5.05,5.33
2023-03-04,Social Media,Winter Promo,Returning,940,777.93,377,283.0,6221.01,16.06,22.94,9.08
2023-03-05,Direct,Holiday Offers,Returning,266,750.45,316,168.0,3288.02,13.75,25.74,7.07
2023-03-06,Organic Search,Summer Sale,Returning,1397,,410,100.0,5695.57,33.09,6.01,2.23
2023-03-07,Social Media,Winter Promo,New,487,3601.52,278,234.0,4083.88,45.09,26.79,9.95
2023-03-08,Direct,Weekend Discount,Returning,700,301.23,319,217.0,5790.2,27.35,11.42,5.75
2023-03-09,Google Ads,Weekend Discount,Returning,415,2054.22,365,219.0,2131.67,16.43,21.63,4.53
2023-03-10,Social Media,Winter Promo,New,113,2224.25,335,,2194.43,32.32,25.01,6.93
2023-03-11,Google Ads,Holiday Offers,Returning,341,3745.81,340,,2291.88,42.47,21.57,1.98
2023-03-12,Email Campaign,Winter Promo,Returning,876,1329.22,262,287.0,9458.38,39.67,7.31,6.73
2023-03-13,Google Ads,Flash Deals,Returning,1469,1003.24,214,162.0,7596.09,45.26,19.91,5.48
2023-03-14,Email Campaign,Summer Sale,New,664,496.28,54,78.0,2461.44,21.12,18.74,4.66
2023-03-15,Google Ads,Summer Sale,Returning,997,2198.74,388,45.0,2695.14,17.76,27.51,9.58
2023-03-16,Email Campaign,Flash Deals,Returning,1463,3473.65,428,66.0,7577.47,45.19,15.11,5.7
2023-03-17,Google Ads,Summer Sale,Returning,191,385.15,127,285.0,2405.47,36.3,13.03,2.97
2023-03-18,Email Campaign,Winter Promo,Returning,1490,4584.55,459,35.0,3111.05,22.44,23.75,5.13
2023-03-19,Google Ads,Weekend Discount,New,1055,2267.53,111,,9670.12,39.69,15.32,9.27
2023-03-20,Direct,Summer Sale,New,1578,1274.96,181,,3297.76,42.6,21.15,2.58
2023-03-21,Direct,Holiday Offers,Returning,1551,559.98,138,269.0,6954.69,34.6,21.16,2.93
2023-03-22,Organic Search,Summer Sale,New,608,996.04,286,289.0,9807.68,37.52,27.2,1.12
2023-03-23,Email Campaign,Flash Deals,Returning,875,4679.61,91,136.0,4368.67,25.01,19.97,1.13
2023-03-24,Email Campaign,Summer Sale,Returning,134,3227.53,138,26.0,1157.64,31.55,17.55,8.46
2023-03-25,Email Campaign,Flash Deals,Returning,305,2631.81,451,156.0,3197.33,30.97,8.47,7.59
2023-03-26,Organic Search,Winter Promo,New,1204,3319.85,345,195.0,8477.89,43.92,7.89,4.2
2023-03-27,Email Campaign,Winter Promo,New,1685,2234.8,377,234.0,8781.48,43.6,8.86,7.28
2023-03-28,Organic Search,Winter Promo,Returning,1995,3677.19,344,101.0,7916.67,43.31,9.3,4.56
2023-03-29,Direct,Winter Promo,Returning,1511,333.81,153,242.0,2017.99,10.44,20.95,9.58
2023-03-30,Email Campaign,Winter Promo,Returning,1125,2873.58,63,122.0,,39.98,23.52,9.7
2023-03-31,Organic Search,Winter Promo,New,1121,877.37,337,292.0,9268.1,40.35,18.25,4.54
2023-01-01,Direct,Summer Sale,Returning,1513,688.81,228,33.0,6405.49,37.14,25.73,8.69
2023-01-02,Organic Search,Summer Sale,New,665,1775.21,174,178.0,9467.88,40.25,29.78,7.96
2023-01-03,Google Ads,Summer Sale,Returning,1229,549.82,471,171.0,8441.55,43.68,25.5,3.79
2023-01-04,Organic Search,Summer Sale,Returning,1895,561.37,402,127.0,7002.74,28.81,22.37,3.09
2023-01-05,Google Ads,Winter Promo,New,1945,1625.93,72,207.0,6194.67,30.08,18.31,5.12
2023-01-06,Google Ads,Flash Deals,Returning,1600,4899.6,112,117.0,4137.16,14.99,16.22,8.03
2023-01-07,Social Media,Winter Promo,Returning,802,959.12,192,150.0,2433.59,25.42,7.11,9.64
2023-01-08,Social Media,Flash Deals,New,501,,202,190.0,6444.59,35.73,14.98,7.87
2023-01-09,Email Campaign,Winter Promo,New,829,3840.49,194,202.0,3863.0,41.22,27.75,8.7
2023-01-10,Google Ads,Winter Promo,New,1679,4053.87,274,58.0,8797.95,18.69,25.2,6.43
2023-01-11,Email Campaign,Flash Deals,New,261,1796.89,499,34.0,9940.03,15.51,10.4,8.52
2023-01-12,Social Media,Holiday Offers,New,301,2376.9,358,23.0,,36.52,16.67,8.06
2023-01-13,Organic Search,Summer Sale,New,1095,3283.89,153,229.0,1814.34,10.08,25.42,4.39
2023-01-14,Organic Search,Holiday Offers,Returning,369,335.49,153,180.0,3598.17,17.13,6.68,5.97
2023-01-15,Social Media,Winter Promo,Returning,1986,,484,35.0,1981.99,11.16,14.68,8.24
2023-01-16,Direct,Flash Deals,Returning,915,,88,127.0,6854.6,16.68,26.3,1.41
2023-01-17,Email Campaign,Summer Sale,New,1394,1378.38,484,246.0,7886.72,17.25,15.1,8.27
2023-01-18,Direct,Summer Sale,New,555,174.99,247,189.0,9331.07,25.51,6.94,2.6
2023-01-19,Google Ads,Winter Promo,Returning,1585,4673.84,183,53.0,,26.09,18.56,5.63
2023-01-20,Social Media,Flash Deals,New,1850,2555.1,116,270.0,9112.38,44.97,26.54,8.27
2023-01-21,Email Campaign,Winter Promo,Returning,1375,2742.95,440,266.0,8901.02,30.4,19.76,3.28
2023-01-22,Google Ads,Flash Deals,New,1116,3451.42,228,288.0,3854.76,38.94,10.66,3.21
2023-01-23,Organic Search,Weekend Discount,New,1825,3117.67,91,,8820.11,14.17,14.61,4.62
2023-01-24,Direct,Holiday Offers,New,395,4725.07,497,293.0,4381.05,19.02,16.25,9.05
2023-01-25,Google Ads,Winter Promo,Returning,1848,4726.83,64,115.0,,38.12,19.48,1.0
2023-01-26,Google Ads,Winter Promo,New,819,4349.27,160,246.0,6841.67,12.11,23.98,9.11
2023-01-27,Direct,Winter Promo,New,1872,3218.38,206,58.0,3955.43,29.46,7.47,2.38
2023-01-28,Organic Search,Holiday Offers,New,437,4024.65,338,48.0,6671.88,33.97,27.24,9.91
2023-01-29,Google Ads,Holiday Offers,Returning,978,3418.12,280,264.0,6488.49,34.09,5.31,9.59
2023-01-30,Social Media,Winter Promo,New,1176,2909.5,460,255.0,6070.95,10.92,14.25,5.45
2023-01-31,Google Ads,Weekend Discount,New,891,729.65,469,,4423.78,22.88,5.69,5.61
2023-02-01,Direct,Summer Sale,Returning,316,4074.9,206,291.0,5936.5,35.46,14.82,5.33
2023-02-02,Direct,Flash Deals,Returning,863,4121.13,87,255.0,6368.37,15.96,18.15,6.72
2023-02-03,Social Media,Flash Deals,Returning,287,3167.1,490,,5911.18,37.82,17.79,1.82
2023-02-04,Email Campaign,Holiday Offers,Returning,479,4120.09,146,285.0,4999.78,39.84,9.14,1.29
2023-02-05,Direct,Flash Deals,Returning,592,3292.28,460,84.0,1132.0,49.28,21.14,1.52
2023-02-06,Social Media,Holiday Offers,Returning,1164,1112.75,488,196.0,6283.56,18.39,6.12,5.0
2023-02-07,Direct,Summer Sale,Returning,1280,1442.41,338,22.0,2516.0,43.01,24.05,3.48
2023-02-08,Direct,Holiday Offers,New,114,1151.49,303,161.0,6783.18,30.81,28.67,6.6
2023-02-09,Social Media,Holiday Offers,Returning,1936,1948.57,245,177.0,7834.1,24.94,13.49,9.93
2023-02-10,Direct,Holiday Offers,Returning,164,290.92,135,165.0,,14.9,17.93,4.48
2023-02-11,Google Ads,Summer Sale,Returning,1980,3129.44,371,172.0,5881.27,39.42,14.47,6.16
2023-02-12,Direct,Summer Sale,Returning,1962,1749.12,59,212.0,9563.31,19.43,5.17,4.74
2023-02-13,Direct,Flash Deals,Returning,620,3313.04,54,92.0,8624.51,24.86,14.65,8.63
2023-02-14,Direct,Holiday Offers,New,1467,1988.44,172,159.0,9228.13,12.5,24.79,9.12
2023-02-15,Organic Search,Holiday Offers,New,1252,3439.91,379,206.0,8323.9,42.05,19.9,8.9
2023-02-16,Email Campaign,Flash Deals,New,747,1769.06,402,80.0,1980.27,40.66,7.53,9.77
2023-02-17,Direct,Weekend Discount,Returning,1595,1377.4,167,217.0,2340.93,39.34,26.18,1.25
2023-02-18,Organic Search,Winter Promo,Returning,1186,2530.58,343,30.0,5739.61,21.98,18.28,8.56
2023-02-19,Email Campaign,Summer Sale,Returning,1262,3495.16,446,81.0,3214.63,16.94,26.04,7.77
2023-02-20,Google Ads,Flash Deals,New,1622,1806.85,208,245.0,5290.26,35.5,19.51,3.06
2023-02-21,Organic Search,Winter Promo,Returning,692,4689.58,352,,4549.29,29.85,18.99,9.61
2023-02-22,Google Ads,Winter Promo,Returning,491,,277,218.0,5944.73,17.13,7.63,2.33
2023-02-23,Email Campaign,Summer Sale,New,1798,2147.94,414,71.0,7721.88,37.44,9.18,7.12
2023-02-24,Social Media,Summer Sale,New,518,4841.14,265,279.0,7439.42,49.65,29.3,3.02
2023-02-25,Social Media,Weekend Discount,New,388,2785.06,485,78.0,5691.11,39.89,10.71,4.88
2023-02-26,Email Campaign,Holiday Offers,New,478,2175.01,233,91.0,8401.54,39.6,29.44,7.47
2023-02-27,Social Media,Weekend Discount,New,1896,,64,167.0,4877.76,48.01,18.3,6.07
2023-02-28,Google Ads,Holiday Offers,New,1613,2922.03,206,82.0,9070.43,18.12,8.39,4.85
2023-03-01,Google Ads,Holiday Offers,New,330,3685.07,185,262.0,1641.52,32.62,7.48,3.94
2023-03-02,Direct,Holiday Offers,New,1117,725.68,310,126.0,9591.94,49.19,10.22,8.56
2023-03-03,Organic Search,Summer Sale,Returning,140,1325.08,206,245.0,,16.61,28.14,2.29
2023-03-04,Organic Search,Flash Deals,New,1151,2944.67,96,237.0,4420.67,38.01,15.35,4.87
2023-03-05,Email Campaign,Weekend Discount,Returning,234,4348.87,373,260.0,2774.39,33.43,14.89,9.13
2023-03-06,Google Ads,Summer Sale,New,300,2853.15,381,278.0,5312.65,33.46,12.83,8.61
2023-03-07,Google Ads,Holiday Offers,New,1963,1269.12,222,281.0,2751.02,37.91,8.68,4.61
2023-03-08,Social Media,Flash Deals,New,879,3431.24,179,24.0,2496.98,47.18,17.2,7.87
2023-03-09,Google Ads,Winter Promo,Returning,1029,3725.55,460,280.0,6556.17,41.3,8.25,8.41
2023-03-10,Social Media,Summer Sale,New,1156,1267.36,144,,5707.76,12.25,25.89,9.0
2023-03-11,Email Campaign,Flash Deals,Returning,1171,1950.87,164,66.0,7030.86,44.11,14.26,5.9
2023-03-12,Email Campaign,Holiday Offers,Returning,602,2718.2,292,234.0,9366.45,19.02,14.37,2.84
2023-03-13,Direct,Weekend Discount,New,506,2533.15,469,,5790.34,25.08,16.85,3.3
2023-03-14,Google Ads,Weekend Discount,Returning,1697,2009.13,341,,6228.39,28.47,16.1,3.66
2023-03-15,Google Ads,Winter Promo,New,1851,1558.41,331,118.0,1806.64,29.24,29.87,6.34
2023-03-16,Direct,Flash Deals,New,904,589.93,348,39.0,7458.72,27.41,18.63,1.3
2023-03-17,Email Campaign,Weekend Discount,New,198,362.08,332,260.0,4599.15,47.49,7.21,6.72
2023-03-18,Social Media,Summer Sale,Returning,783,4796.85,118,80.0,9790.53,38.24,20.17,4.28
2023-03-19,Email Campaign,Winter Promo,Returning,1995,4251.0,197,197.0,8408.57,35.25,8.79,3.66
2023-03-20,Google Ads,Flash Deals,New,825,,60,81.0,5702.33,11.99,5.77,8.92
2023-03-21,Organic Search,Weekend Discount,Returning,1670,4788.32,303,164.0,2109.0,46.16,29.27,5.14
2023-03-22,Email Campaign,Summer Sale,Returning,1060,3416.17,379,235.0,8734.74,46.38,24.34,1.86
2023-03-23,Direct,Weekend Discount,New,1862,2464.35,409,22.0,8198.03,41.21,29.5,8.44
2023-03-24,Organic Search,Summer Sale,Returning,712,2515.83,87,179.0,2661.27,10.28,16.95,1.43
2023-03-25,Social Media,Weekend Discount,Returning,1585,508.09,183,246.0,3657.5,12.29,18.31,7.54
2023-03-26,Direct,Summer Sale,New,742,549.35,249,288.0,8140.67,19.01,9.21,7.97
2023-03-27,Social Media,Holiday Offers,Returning,1892,,72,139.0,2667.06,15.25,11.17,4.17
2023-03-28,Direct,Summer Sale,Returning,1128,2813.14,352,108.0,9259.77,25.95,25.96,8.42
2023-03-29,Organic Search,Flash Deals,New,1341,1142.37,395,87.0,,46.9,13.9,5.64
2023-03-30,Organic Search,Summer Sale,Returning,602,4736.35,351,117.0,,28.88,25.67,5.17
2023-03-31,Organic Search,Winter Promo,New,866,3928.35,412,286.0,8341.74,10.54,22.73,1.41
2023-01-01,Direct,Weekend Discount,New,497,655.98,445,124.0,4361.59,21.31,9.43,3.61
2023-01-02,Social Media,Summer Sale,Returning,970,4661.55,267,142.0,5738.49,11.78,17.69,9.38
2023-01-03,Google Ads,Weekend Discount,New,894,4873.82,190,48.0,2010.74,11.45,21.93,4.53
2023-01-04,Google Ads,Weekend Discount,Returning,492,4980.06,153,156.0,1023.26,21.03,10.88,5.92
2023-01-05,Email Campaign,Weekend Discount,New,306,373.77,495,214.0,6741.87,21.02,25.77,5.79
2023-01-06,Social Media,Flash Deals,New,1138,3711.47,259,245.0,5636.58,41.49,18.62,6.31
2023-01-07,Direct,Summer Sale,New,1981,,160,189.0,6341.85,48.99,9.13,1.55
2023-01-08,Social Media,Flash Deals,Returning,1677,3558.57,153,28.0,8143.69,24.85,19.57,4.26
2023-01-09,Organic Search,Summer Sale,New,991,4846.39,365,59.0,6819.45,27.16,29.99,7.51
2023-01-10,Email Campaign,Holiday Offers,Returning,1584,3471.35,220,44.0,2572.96,43.79,8.76,2.81
2023-01-11,Google Ads,Flash Deals,Returning,1814,4201.12,405,280.0,4246.95,20.73,25.42,2.83
2023-01-12,Organic Search,Holiday Offers,Returning,1698,4347.66,373,245.0,9153.02,16.26,10.18,1.09
2023-01-13,Direct,Holiday Offers,New,963,4208.56,182,,7929.5,44.12,24.56,4.94
2023-01-14,Google Ads,Winter Promo,Returning,842,2187.85,425,,6009.73,11.86,23.36,8.94
2023-01-15,Google Ads,Weekend Discount,Returning,1364,1190.62,342,270.0,3300.8,34.79,12.51,1.47
2023-01-16,Social Media,Flash Deals,New,663,2043.59,377,195.0,3718.54,32.48,13.15,2.72
2023-01-17,Direct,Winter Promo,New,1120,4470.29,176,109.0,7587.62,23.84,24.81,3.79
2023-01-18,Direct,Holiday Offers,New,195,818.36,155,56.0,8660.57,22.61,16.54,7.59
2023-01-19,Direct,Summer Sale,Returning,1857,2615.3,141,195.0,7042.82,40.87,23.27,6.77
2023-01-20,Email Campaign,Winter Promo,New,584,,336,100.0,,13.46,8.7,4.74
2023-01-21,Direct,Flash Deals,New,1530,2948.4,427,133.0,7899.91,19.47,26.31,7.83
2023-01-22,Organic Search,Weekend Discount,Returning,330,4329.38,442,,2347.34,39.3,22.77,6.49
2023-01-23,Organic Search,Weekend Discount,Returning,848,4413.76,100,,4815.5,31.93,27.67,9.06
2023-01-24,Social Media,Weekend Discount,Returning,1778,1259.76,78,134.0,2376.85,15.12,8.31,8.36
2023-01-25,Google Ads,Weekend Discount,New,1294,4547.7,345,205.0,3117.12,45.29,19.83,3.28
2023-01-26,Organic Search,Weekend Discount,New,640,3000.25,346,75.0,8823.34,25.74,19.98,3.44
2023-01-27,Social Media,Summer Sale,Returning,1159,1816.07,263,59.0,5256.03,43.11,13.84,2.13
2023-01-28,Organic Search,Weekend Discount,Returning,624,,316,59.0,5818.22,41.51,16.46,4.03
2023-01-29,Email Campaign,Holiday Offers,Returning,1283,2460.17,456,256.0,2606.01,34.98,5.95,10.0
2023-01-30,Email Campaign,Weekend Discount,New,1962,1952.14,306,281.0,3810.45,29.78,23.65,4.65
2023-01-31,Google Ads,Summer Sale,Returning,1822,3554.91,351,235.0,3072.22,49.18,18.73,2.98
2023-02-01,Email Campaign,Summer Sale,Returning,1366,,150,166.0,2855.68,15.8,6.44,7.86
2023-02-02,Direct,Winter Promo,New,1209,1718.24,454,187.0,6741.65,39.01,22.02,5.88
2023-02-03,Social Media,Weekend Discount,Returning,1919,2228.81,395,111.0,3311.95,17.65,16.67,2.35
2023-02-04,Email Campaign,Summer Sale,New,677,1343.04,159,78.0,6688.14,23.53,5.86,4.43
2023-02-05,Google Ads,Holiday Offers,New,781,2085.49,469,78.0,1526.09,22.35,29.24,4.73
2023-02-06,Direct,Weekend Discount,New,656,2900.22,231,188.0,2275.97,47.88,28.73,7.78
2023-02-07,Social Media,Winter Promo,Returning,1697,,362,288.0,3470.86,48.69,17.82,1.19
2023-02-08,Direct,Flash Deals,New,1112,,50,64.0,6373.42,17.32,7.34,3.42
2023-02-09,Social Media,Flash Deals,New,745,4131.67,368,200.0,7082.57,10.88,23.87,5.66
2023-02-10,Organic Search,Summer Sale,New,895,3746.64,487,189.0,4984.45,38.8,17.3,3.42
2023-02-11,Organic Search,Weekend Discount,Returning,1151,,104,210.0,5012.12,26.72,12.56,6.66
2023-02-12,Google Ads,Holiday Offers,Returning,1743,1263.78,420,174.0,7520.65,13.55,17.29,5.34
